name,red,green,blue,alpha,id
Unknown,80,252,17,255,0
Wall,0,102,51,255,1
Floor,191,191,181,255,2
Ceiling,127,255,127,255,3
Door,255,255,0,255,4
Stairs,4,86,162,255,5
Structure,109,124,135,255,6
Shelf,0,255,255,255,7
Plant,0,0,127,255,8
Bed,151,69,237,255,9
Storage,247,105,134,255,10
Table,204,0,102,255,11
Chair,255,255,127,255,12
Wall_Decoration,0,127,255,255,13
Couch,204,0,0,255,14
Light,10,209,135,255,15
Appliance,255,0,255,255,16
Thing,182,133,15,255,17
Deformable,0,0,255,255,18
Dynamic_NonHuman,110,61,1,255,19
Human,127,255,255,255,20
