name,red,green,blue,alpha,id
Unknown,10,45,76,255,0
Sky,135,206,235,255,1
Tree,0,108,0,255,2
Water,0,0,225,255,3
Ground,139,69,19,255,4
Sidewalk,220,220,220,255,5
Road,100,100,100,255,6
Vehicle,0,255,255,255,7
Building,186,85,211,255,8
Signal,209,151,185,255,9
Rock,0,0,0,255,10
Fence,182,175,79,255,11
Boat,44,146,171,255,12
Sign,0,127,255,255,13
Slope,225,225,0,255,14
Bridge,76,254,194,255,15
Wall,75,0,130,255,16
Floor,128,128,128,255,17
Ceiling,107,127,251,255,18
Door,118,174,7,255,19
Stairs,149,251,101,255,20
Structure,254,205,114,255,21
Window,255,120,120,255,22
Shelf,119,12,236,255,23
Plant,0,255,0,255,24
Bed,255,127,0,255,25
Storage,186,30,114,255,26
Table,225,0,225,255,27
Chair,45,194,230,255,28
Wall_Decoration,11,74,175,255,29
Couch,225,0,0,255,30
Light,127,0,0,255,31
Appliance,12,180,15,255,32
Thing,127,255,0,255,33
Deformable,21,219,128,255,34
Dynamic_NonHuman,255,127,255,255,35
Human,3,140,92,255,36
